,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
C1=CC=C(C=C1)C=O,0.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
C1=CC=C(C=C1)C(=O)O,0.0,9.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
C1=CC=C(C=C1)CO,0.14285714285714285,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
C1=CC=C(C=C1)CN=C=S,0.125,10.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,0.35135135135135137,45.0,1.0,8.0,0.0,4.0,4.0,8.0,1.0,8.0,3.0,0.0,0.0,0.0,8.0
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,0.25,25.0,0.0,5.0,0.0,2.0,2.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,0.08333333333333333,16.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0
COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,0.5,23.0,5.0,9.0,0.0,2.0,1.0,9.0,5.0,9.0,2.0,0.0,1.0,1.0,3.0
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,0.9333333333333333,31.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,5.0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,0.45,40.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0
CC1=CCCC(=C)C2CC(C2CC1)(C)C,0.7333333333333333,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,0.45,41.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0
CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,0.9310344827586207,30.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,0.0,3.0,4.0
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,0.9333333333333333,32.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,5.0,5.0
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,0.9,33.0,2.0,3.0,5.0,0.0,0.0,2.0,2.0,3.0,2.0,5.0,0.0,5.0,5.0
CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C(=O)O,0.8666666666666667,33.0,1.0,3.0,5.0,0.0,0.0,2.0,1.0,3.0,2.0,5.0,0.0,5.0,5.0
CC1CC2C(C(C3(C1C=CC3=O)C)OC(=O)C)C(=C)C(=O)O2,0.5882352941176471,22.0,0.0,5.0,2.0,1.0,0.0,5.0,0.0,5.0,1.0,1.0,1.0,2.0,3.0
COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,0.0625,21.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0
CC1=CCC(CC1)C(C)(CCC=C(C)C)O,0.7333333333333333,16.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0
CC1CCC2(CCC3(C(=CC(=O)C4C3(CCC5C4(CCC(C5(C)C(=O)O)OC(=O)C)C)C)C2C1C)C)C,0.84375,37.0,1.0,5.0,5.0,0.0,0.0,4.0,1.0,5.0,2.0,4.0,0.0,4.0,5.0
CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C(C)C)(OC5)C(=O)OC)O)O)C)O,0.7142857142857143,39.0,3.0,11.0,3.0,2.0,0.0,11.0,3.0,11.0,4.0,2.0,2.0,4.0,5.0
COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,0.6086956521739131,29.0,0.0,6.0,1.0,5.0,1.0,5.0,0.0,6.0,2.0,1.0,3.0,4.0,7.0
COC1=C(C=C2C(=C1)C34CC[N+]5(C3CC6C7C4N2C(=O)CC7OCC=C6C5)[O-])OC,0.6086956521739131,30.0,0.0,7.0,1.0,5.0,1.0,5.0,0.0,7.0,2.0,1.0,3.0,4.0,7.0
CC(=CCC1=C(C(=CC(=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)C=CC(C)(C)O)OC)C,0.34615384615384615,32.0,3.0,6.0,0.0,1.0,2.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,3.0
COC1=C(C=C(C=C1)C=CCC2=C(C(=C(C=C2)O)OC)OC)O,0.2222222222222222,23.0,2.0,5.0,0.0,0.0,2.0,5.0,2.0,5.0,6.0,0.0,0.0,0.0,2.0
C1=CC(=C(C=C1C=CC(=O)O)O)O,0.0,13.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0
COC1=CC(=C2C(=C1)OCC(C2=O)C3=C(C=C(C=C3)O)OC)O,0.23529411764705882,23.0,2.0,6.0,0.0,1.0,2.0,6.0,2.0,6.0,3.0,0.0,0.0,0.0,3.0
CC1(C2CCC(C2)C1=C)C,0.8,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
CC1(C2CCC1(C(=O)C2)C)C,0.9,11.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0
CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,0.25,26.0,1.0,6.0,0.0,2.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,5.0
CC1=C(C(CCC1=O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)CCC2(C)C)C)C)C,0.4,42.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.5,22.0,2.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0,9.0,0.0,0.0,0.0,1.0
CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)C1(CC(CC1(C)C)O)C)C=CC=C(C)C=CC(=O)C2(CC(CC2(C)C)O)C,0.5,44.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,12.0,2.0,0.0,2.0,2.0
CC(=C)C1CCC23CC(CCC2C1(C)CCC(=O)O)C(=C)C3=O,0.7,23.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,3.0,3.0
CC=C(C)C1C(C2C(CCC(C2C=C1C)O)C)C=CC=CC(=O)O,0.5714285714285714,24.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0
CC1CCC(C2C1C(C(C(=C2)C)C(=CCO)C)C=CC=CC(=O)O)O,0.5714285714285714,25.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,4.0,5.0,1.0,0.0,1.0,2.0
CC1=C(C=C(C=C1)C(C)C)O,0.4,11.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
C1CN2CC(C(C(C2C1O)O)O)O,1.0,13.0,4.0,5.0,0.0,2.0,0.0,5.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)CO)OC9C(C(C(CO9)O)O)O)C)(C)C)O)O)O)CO)O)O)O,0.9433962264150944,75.0,13.0,22.0,5.0,4.0,0.0,22.0,13.0,22.0,11.0,4.0,4.0,8.0,9.0
CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,0.6551724137931034,33.0,2.0,4.0,5.0,0.0,0.0,3.0,2.0,4.0,1.0,3.0,0.0,3.0,5.0
CN1C(=O)C23CC4(C(N2C(=O)C1(SS3)CO)NC5=CC=CC=C54)C67CC89C(=O)N(C(C(=O)N8C6NC1=CC=CC=C71)(SS9)CO)C,0.4666666666666667,46.0,4.0,12.0,0.0,10.0,2.0,12.0,4.0,16.0,3.0,0.0,8.0,8.0,12.0
